cust_id,lookalikes
C0001,"[('C0070', 0.998), ('C0137', 0.997), ('C0127', 0.997)]"
C0002,"[('C0029', 1.0), ('C0088', 0.997), ('C0062', 0.987)]"
C0003,"[('C0190', 0.978), ('C0086', 0.952), ('C0027', 0.815)]"
C0004,"[('C0179', 0.997), ('C0068', 0.992), ('C0012', 0.979)]"
C0005,"[('C0131', 1.0), ('C0186', 0.998), ('C0112', 0.998)]"
C0006,"[('C0079', 1.0), ('C0117', 0.989), ('C0187', 0.976)]"
C0007,"[('C0146', 1.0), ('C0089', 0.998), ('C0085', 0.998)]"
C0008,"[('C0084', 0.999), ('C0169', 0.998), ('C0124', 0.998)]"
C0009,"[('C0083', 0.997), ('C0077', 0.973), ('C0061', 0.967)]"
C0010,"[('C0176', 0.994), ('C0106', 0.994), ('C0072', 0.992)]"
C0011,"[('C0139', 0.999), ('C0171', 0.996), ('C0023', 0.996)]"
C0012,"[('C0148', 0.997), ('C0163', 0.995), ('C0018', 0.995)]"
C0013,"[('C0149', 0.998), ('C0200', 0.997), ('C0105', 0.996)]"
C0014,"[('C0060', 0.999), ('C0097', 0.999), ('C0130', 0.999)]"
C0015,"[('C0110', 0.999), ('C0123', 0.999), ('C0080', 0.999)]"
C0016,"[('C0040', 1.0), ('C0184', 0.982), ('C0183', 0.98)]"
C0017,"[('C0113', 0.999), ('C0162', 0.997), ('C0075', 0.997)]"
C0018,"[('C0012', 0.995), ('C0148', 0.99), ('C0163', 0.98)]"
C0019,"[('C0172', 0.997), ('C0073', 0.997), ('C0157', 0.995)]"
C0020,"[('C0080', 1.0), ('C0128', 1.0), ('C0110', 0.999)]"
